departement,latitude,longitude
01,46.26462,5.65979
02,49.61764,3.56207
03,46.31864,3.39788
04,43.90042,5.79823
05,44.55986,6.08057
06,43.75203,7.43912
07,44.66293,4.77446
08,49.92452,4.51983
09,42.8478,1.60783
10,48.2874,4.07669
11,43.20558,2.43916
12,44.52636,2.27789
13,43.59391,5.48251
14,49.14679,-0.32554
15,48.96362,2.24033
16,45.7026,-0.31493
17,45.60398,-0.84744
18,47.22067,2.04936
19,45.17335,1.47038
21,47.6064,5.19519
22,48.53266,-2.01572
23,50.4602,2.72507
24,44.84587,0.49812
25,47.24301,5.97903
26,43.58048,1.31869
27,48.76242,1.26127
28,48.38183,1.54746
29,48.00421,-4.09839
2A,43.38655,5.15561
2B,49.37864,5.48024
30,44.15325,4.63122
31,43.6211,1.41814
32,43.95003,0.37622
33,44.79121,-0.66606
34,43.37648,3.41364
35,48.10603,-1.94057
36,46.81035,1.68216
37,47.34079,0.6613
38,45.27538,5.87371
39,46.71907,5.50001
40,44.35761,-1.07167
41,47.31285,2.03533
42,45.52684,4.61596
43,45.63705,4.3019
44,47.2291,-1.46972
45,47.89494,2.02672
46,50.59922,1.92438
47,44.34453,0.94193
48,48.70475,2.19781
49,47.35921,-0.86034
50,49.11756,-1.12261
51,48.40513,2.69667
52,48.72272,3.71465
53,48.29288,-0.61699
54,48.88522,6.04267
55,49.68882,4.80642
56,47.67096,-3.21943
57,49.1113,7.06128
58,46.98986,3.16383
59,50.27452,3.97273
60,49.46644,2.11035
61,48.59599,2.30789
62,50.18048,2.62046
63,45.96719,3.47793
64,43.32842,-0.33794
65,43.56446,-0.05627
66,42.46357,2.86323
67,48.70397,7.57686
68,48.08018,7.36469
69,45.69486,4.92915
70,47.42365,5.52519
71,46.19336,4.34107
72,48.00113,0.18481
73,49.09621,6.12813
74,45.91701,6.13309
75,48.8277,2.37909
76,49.49541,0.11531
77,48.18122,2.76678
78,49.0113,1.91288
79,46.64419,-0.24375
80,49.70408,2.78225
81,50.45834,2.72472
82,44.1387,1.09812
83,45.80889,3.11799
84,47.7612,6.38592
85,46.66479,-1.42248
86,49.27953,1.77319
87,45.76403,0.75645
88,48.66674,7.03589
89,47.81594,3.56036
90,47.63928,6.86367
91,48.69653,2.37138
92,48.88822,2.19428
93,48.92389,2.25221
94,48.77745,2.45518
95,49.13732,2.29333
971,16.1922065,-61.27238249999999
972,14.641528,-61.024174
973,3.933889,-53.125782
974,-21.028110,55.027771
976,-12.823048,45.1520755